time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure,Month_Day_Time,Month_Day_Time_numeric
2017-01-01 00:00:00+00:00,-9.31,75.7,0.0,0.0,0.0,240.98,2.22,60.0,99990.0,2025-01-01 00:00:00+00:00,1735689600.0
2017-01-01 01:00:00+00:00,-8.18,79.59,0.0,0.0,0.0,250.61,2.14,90.0,99910.0,2025-01-01 01:00:00+00:00,1735693200.0
2017-01-01 02:00:00+00:00,-7.06,83.48,0.0,0.0,0.0,260.25,2.06,129.0,99810.0,2025-01-01 02:00:00+00:00,1735696800.0
2017-01-01 03:00:00+00:00,-5.93,87.37,0.0,0.0,0.0,269.89,1.97,151.0,99750.0,2025-01-01 03:00:00+00:00,1735700400.0
2017-01-01 04:00:00+00:00,-4.8,91.26,0.0,0.0,0.0,279.52,1.89,166.0,99690.0,2025-01-01 04:00:00+00:00,1735704000.0
2017-01-01 05:00:00+00:00,-3.68,95.15,0.0,0.0,0.0,289.16,1.81,175.0,99650.0,2025-01-01 05:00:00+00:00,1735707600.0
2017-01-01 06:00:00+00:00,-2.55,99.04,0.0,0.0,0.0,298.79,1.72,185.0,99620.0,2025-01-01 06:00:00+00:00,1735711200.0
2017-01-01 07:00:00+00:00,-1.43,100.0,0.0,0.0,0.0,308.43,1.64,257.0,99780.0,2025-01-01 07:00:00+00:00,1735714800.0
2017-01-01 08:00:00+00:00,-3.98,95.5,0.0,0.0,0.0,288.15,1.1,265.0,99830.0,2025-01-01 08:00:00+00:00,1735718400.0
2017-01-01 09:00:00+00:00,-3.51,95.5,0.0,0.0,0.0,274.4,2.07,256.0,99870.0,2025-01-01 09:00:00+00:00,1735722000.0
2017-01-01 10:00:00+00:00,-2.66,88.25,0.0,0.0,0.0,266.3,3.17,255.0,99960.0,2025-01-01 10:00:00+00:00,1735725600.0
2017-01-01 11:00:00+00:00,-2.2,88.3,0.0,0.0,0.0,244.6,4.14,256.0,100120.0,2025-01-01 11:00:00+00:00,1735729200.0
2017-01-01 12:00:00+00:00,-1.98,88.3,0.0,0.0,0.0,258.35,4.76,260.0,100310.0,2025-01-01 12:00:00+00:00,1735732800.0
2017-01-01 13:00:00+00:00,-2.52,81.5,68.45,432.23,49.0,262.2,5.1,266.0,100510.0,2025-01-01 13:00:00+00:00,1735736400.0
2017-01-01 14:00:00+00:00,-3.11,75.1,159.75,251.82,115.1,255.65,5.17,270.0,100700.0,2025-01-01 14:00:00+00:00,1735740000.0
2017-01-01 15:00:00+00:00,-3.48,72.05,250.8,435.08,129.65,257.75,5.1,271.0,100870.0,2025-01-01 15:00:00+00:00,1735743600.0
2017-01-01 16:00:00+00:00,-3.57,69.15,336.25,591.28,134.3,242.85,4.69,270.0,101020.0,2025-01-01 16:00:00+00:00,1735747200.0
2017-01-01 17:00:00+00:00,-3.34,63.8,348.8,620.66,123.95,225.25,4.55,269.0,101110.0,2025-01-01 17:00:00+00:00,1735750800.0
2017-01-01 18:00:00+00:00,-3.01,63.8,311.35,620.8,100.75,218.5,4.62,267.0,101210.0,2025-01-01 18:00:00+00:00,1735754400.0
2017-01-01 19:00:00+00:00,-2.77,61.35,218.9,565.13,64.05,210.35,4.07,259.0,101380.0,2025-01-01 19:00:00+00:00,1735758000.0
2017-01-01 20:00:00+00:00,-2.98,66.45,89.1,319.56,34.45,203.75,3.38,255.0,101530.0,2025-01-01 20:00:00+00:00,1735761600.0
2017-01-01 21:00:00+00:00,-3.86,69.15,1.95,0.0,1.95,203.0,2.83,254.0,101650.0,2025-01-01 21:00:00+00:00,1735765200.0
2017-01-01 22:00:00+00:00,-5.23,77.9,0.0,0.0,0.0,204.75,2.28,250.0,101770.0,2025-01-01 22:00:00+00:00,1735768800.0
2017-01-01 23:00:00+00:00,-6.18,81.05,0.0,0.0,0.0,203.0,2.21,248.0,101860.0,2025-01-01 23:00:00+00:00,1735772400.0
2017-01-02 00:00:00+00:00,-7.07,81.0,0.0,0.0,0.0,204.15,2.21,247.0,101970.0,2025-01-02 00:00:00+00:00,1735776000.0
2017-01-02 01:00:00+00:00,-7.67,80.9,0.0,0.0,0.0,207.35,1.86,244.0,102050.0,2025-01-02 01:00:00+00:00,1735779600.0
2017-01-02 02:00:00+00:00,-8.73,84.2,0.0,0.0,0.0,219.25,1.52,215.0,102080.0,2025-01-02 02:00:00+00:00,1735783200.0
2017-01-02 03:00:00+00:00,-10.03,87.65,0.0,0.0,0.0,208.2,1.86,199.0,102120.0,2025-01-02 03:00:00+00:00,1735786800.0
2017-01-02 04:00:00+00:00,-10.75,87.65,0.0,0.0,0.0,207.65,2.07,207.0,102170.0,2025-01-02 04:00:00+00:00,1735790400.0
2017-01-02 05:00:00+00:00,-11.07,91.35,0.0,0.0,0.0,207.85,2.28,225.0,102210.0,2025-01-02 05:00:00+00:00,1735794000.0
2017-01-02 06:00:00+00:00,-11.49,91.35,0.0,0.0,0.0,207.85,2.21,238.0,102250.0,2025-01-02 06:00:00+00:00,1735797600.0
2017-01-02 07:00:00+00:00,-11.52,95.3,0.0,0.0,0.0,209.0,2.14,243.0,102310.0,2025-01-02 07:00:00+00:00,1735801200.0
2017-01-02 08:00:00+00:00,-11.5,95.3,0.0,0.0,0.0,214.05,2.0,248.0,102370.0,2025-01-02 08:00:00+00:00,1735804800.0
2017-01-02 09:00:00+00:00,-12.1,95.25,0.0,0.0,0.0,217.9,2.07,254.0,102400.0,2025-01-02 09:00:00+00:00,1735808400.0
2017-01-02 10:00:00+00:00,-11.77,91.35,0.0,0.0,0.0,235.9,2.0,262.0,102460.0,2025-01-02 10:00:00+00:00,1735812000.0
2017-01-02 11:00:00+00:00,-10.97,95.3,0.0,0.0,0.0,232.8,1.66,264.0,102490.0,2025-01-02 11:00:00+00:00,1735815600.0
2017-01-02 12:00:00+00:00,-8.82,91.5,0.0,0.0,0.0,247.15,1.03,261.0,102530.0,2025-01-02 12:00:00+00:00,1735819200.0
2017-01-02 13:00:00+00:00,-8.51,91.5,73.6,387.92,56.1,251.0,0.21,228.0,102590.0,2025-01-02 13:00:00+00:00,1735822800.0
2017-01-02 14:00:00+00:00,-8.45,91.5,175.35,317.38,118.95,245.6,0.28,98.0,102640.0,2025-01-02 14:00:00+00:00,1735826400.0
2017-01-02 15:00:00+00:00,-6.7,81.05,272.7,426.79,153.55,250.4,0.41,97.0,102690.0,2025-01-02 15:00:00+00:00,1735830000.0
2017-01-02 16:00:00+00:00,-4.61,78.0,356.7,704.3,115.4,245.0,0.62,79.0,102690.0,2025-01-02 16:00:00+00:00,1735833600.0
2017-01-02 17:00:00+00:00,-4.88,84.55,369.25,781.73,84.95,227.75,0.9,61.0,102630.0,2025-01-02 17:00:00+00:00,1735837200.0
2017-01-02 18:00:00+00:00,-3.27,78.2,318.45,710.95,76.05,222.75,1.45,51.0,102550.0,2025-01-02 18:00:00+00:00,1735840800.0
2017-01-02 19:00:00+00:00,-1.7,75.35,217.45,563.09,62.05,224.5,1.72,65.0,102540.0,2025-01-02 19:00:00+00:00,1735844400.0
